name,num_backers,funding_target,total_raised
The Flying Martha Ornithopter by Emily Fischer —,"""605""","$30,000",41840.0
SPLATWARE | One of a kind tableware by Granby Workshop —,"""701""","$53,064",67608.0
Blights Out for Mayor by Blights Out —,"""150""","$12,500",8675.0
ORGANICALLY MAINE by Tom Hunt —,"""92""","$1,500",3048.0
Dream Crasher: Volume One by Daniel Stalter —,"""99""","$4,500",4628.0
HELLO! FAT CROW! by Jason Flowers —,"""89""","$5,000",5085.0
Dead Moon: The Book by Mississippi Records —,"""581""","$50,000",47810.0
UNHEARD: The Voices of Iraq by Sam Kimball —,"""76""","$6,000",6000.0
HELLO! FAT CROW! by Jason Flowers —,"""89""","$5,000",5085.0
HELLO! FAT CROW! by Jason Flowers —,"""89""","$5,000",5085.0
Renaine by Squidly —,"""63""","$10,000",1996.0
Renaine by Squidly —,"""63""","$10,000",1996.0
Renaine by Squidly —,"""63""","$10,000",1996.0
Renaine by Squidly —,"""63""","$10,000",1996.0
Renaine by Squidly —,"""63""","$10,000",1996.0
Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"""368""","$9,414",31704.0
Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"""368""","$9,414",31704.0
Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"""368""","$9,414",31704.0
Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"""368""","$9,414",31704.0
Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"""368""","$9,414",31704.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
Eddie &amp; Frankie: An Animation Short by Eddie and Frankie: An Animated Short —,"""4""","$6,633",107.0
CLOAK watches: an entire collection in one watch by CLOAK watches —,"""101""","$26,532",17918.0
CLOAK watches: an entire collection in one watch by CLOAK watches —,"""101""","$26,532",17918.0
CLOAK watches: an entire collection in one watch by CLOAK watches —,"""101""","$26,532",17918.0
CLOAK watches: an entire collection in one watch by CLOAK watches —,"""101""","$26,532",17918.0
CLOAK watches: an entire collection in one watch by CLOAK watches —,"""101""","$26,532",17918.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1489""","$20,000",197978.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1489""","$20,000",197978.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1489""","$20,000",197978.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1489""","$20,000",197978.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1489""","$20,000",197978.0
HELLO! FAT CROW! by Jason Flowers —,"""89""","$5,000",5085.0
Local Government Diversity Dashboard by Kirsten Wyatt —,"""26""","$25,000",1375.0
HELLO! FAT CROW! by Jason Flowers —,"""89""","$5,000",5085.0
Local Government Diversity Dashboard by Kirsten Wyatt —,"""26""","$25,000",1375.0
Local Government Diversity Dashboard by Kirsten Wyatt —,"""26""","$25,000",1375.0
Local Government Diversity Dashboard by Kirsten Wyatt —,"""26""","$25,000",1375.0
Local Government Diversity Dashboard by Kirsten Wyatt —,"""26""","$25,000",1375.0
Dead Moon: The Book by Mississippi Records —,"""583""","$50,000",48030.0
Dead Moon: The Book by Mississippi Records —,"""583""","$50,000",48030.0
Dead Moon: The Book by Mississippi Records —,"""583""","$50,000",48030.0
Dead Moon: The Book by Mississippi Records —,"""583""","$50,000",48030.0
Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"""93""","$10,000",7252.66
Seeing the City: Open House New York Weekend in Photos by Open House New York —,"""71""","$30,000",3486.0
